location_zip	fill_color	region_name
50479	#f09897	NORTHERN PLAINS
50480	#f09897	NORTHERN PLAINS
50482	#f09897	NORTHERN PLAINS
50483	#f09897	NORTHERN PLAINS
50484	#f09897	NORTHERN PLAINS
50501	#f09897	NORTHERN PLAINS
50510	#f09897	NORTHERN PLAINS
50511	#f09897	NORTHERN PLAINS
50514	#f09897	NORTHERN PLAINS
50515	#f09897	NORTHERN PLAINS
50516	#f09897	NORTHERN PLAINS
50517	#f09897	NORTHERN PLAINS
50518	#f09897	NORTHERN PLAINS
50519	#f09897	NORTHERN PLAINS
50520	#f09897	NORTHERN PLAINS
50521	#f09897	NORTHERN PLAINS
50522	#f09897	NORTHERN PLAINS
50523	#f09897	NORTHERN PLAINS
50524	#f09897	NORTHERN PLAINS
50525	#f09897	NORTHERN PLAINS
50527	#f09897	NORTHERN PLAINS
50528	#f09897	NORTHERN PLAINS
50530	#f09897	NORTHERN PLAINS
50531	#f09897	NORTHERN PLAINS
50532	#f09897	NORTHERN PLAINS
50533	#f09897	NORTHERN PLAINS
50535	#f09897	NORTHERN PLAINS
50536	#f09897	NORTHERN PLAINS
50538	#f09897	NORTHERN PLAINS
50539	#f09897	NORTHERN PLAINS
50540	#f09897	NORTHERN PLAINS
50541	#f09897	NORTHERN PLAINS
50542	#f09897	NORTHERN PLAINS
50543	#f09897	NORTHERN PLAINS
50544	#f09897	NORTHERN PLAINS
50545	#f09897	NORTHERN PLAINS
50546	#f09897	NORTHERN PLAINS
50548	#f09897	NORTHERN PLAINS
50551	#f09897	NORTHERN PLAINS
50552	#f09897	NORTHERN PLAINS
50554	#f09897	NORTHERN PLAINS
50556	#f09897	NORTHERN PLAINS
50557	#f09897	NORTHERN PLAINS
50558	#f09897	NORTHERN PLAINS
50559	#f09897	NORTHERN PLAINS
50560	#f09897	NORTHERN PLAINS
50561	#f09897	NORTHERN PLAINS
50562	#f09897	NORTHERN PLAINS
50563	#f09897	NORTHERN PLAINS
50565	#f09897	NORTHERN PLAINS
50566	#f09897	NORTHERN PLAINS
50567	#f09897	NORTHERN PLAINS
50568	#f09897	NORTHERN PLAINS
50569	#f09897	NORTHERN PLAINS
50570	#f09897	NORTHERN PLAINS
50571	#f09897	NORTHERN PLAINS
50573	#f09897	NORTHERN PLAINS
50574	#f09897	NORTHERN PLAINS
50575	#f09897	NORTHERN PLAINS
50576	#f09897	NORTHERN PLAINS
50577	#f09897	NORTHERN PLAINS
50578	#f09897	NORTHERN PLAINS
50579	#f09897	NORTHERN PLAINS
50581	#f09897	NORTHERN PLAINS
50582	#f09897	NORTHERN PLAINS
50583	#f09897	NORTHERN PLAINS
50585	#f09897	NORTHERN PLAINS
50586	#f09897	NORTHERN PLAINS
50588	#f09897	NORTHERN PLAINS
50590	#f09897	NORTHERN PLAINS
50591	#f09897	NORTHERN PLAINS
50594	#f09897	NORTHERN PLAINS
50595	#f09897	NORTHERN PLAINS
50597	#f09897	NORTHERN PLAINS
50598	#f09897	NORTHERN PLAINS
50599	#f09897	NORTHERN PLAINS
50601	#f09897	NORTHERN PLAINS
50604	#f09897	NORTHERN PLAINS
50605	#f09897	NORTHERN PLAINS
50611	#f09897	NORTHERN PLAINS
50625	#f09897	NORTHERN PLAINS
50627	#f09897	NORTHERN PLAINS
50633	#f09897	NORTHERN PLAINS
50636	#f09897	NORTHERN PLAINS
50653	#f09897	NORTHERN PLAINS
50672	#f09897	NORTHERN PLAINS
50801	#f09897	NORTHERN PLAINS
50830	#f09897	NORTHERN PLAINS
50833	#f09897	NORTHERN PLAINS
50835	#f09897	NORTHERN PLAINS
50836	#f09897	NORTHERN PLAINS
